번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
5036,파인힐파크,강원도 강릉시 사천면 노동리 103-9,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
5037,아웃오프 글램핑,충청북도 제천시 수산면 옥순봉로 1250,개별,"무선인터넷,온수,물놀이장,산책로,운동장,마트.편의점",산책로,"일몰명소,봄꽃여행,여름물놀이,가을단풍명소",불가능,110000,143000,165000,198000,2095403660,운영중
5038,농업회사법인 산뜨락맑은물,충청북도 괴산군 괴산읍 제월리 289,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1866807734,운영중
5039,더 쉼,충청북도 음성군 원남면 주봉리 26-1,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1057401112,운영중
5040,우주라이크,충청남도 공주시 유구읍 구계연종길 116,불가,정보없음,정보없음,정보없음,가능,45000,58000,68000,81000,2044533591,운영중
5041,(중복삭제)캠핑킹 관광농원,충청남도 예산군 신암면 조곡리 435 캠핑킹,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,NOT_FOUND,휴업
5042,방화동가족휴가촌 일반야영장,전라북도 장수군 번암면 사암리 682,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,21668205,운영중
5043,행복한 시골 캠핑장,전라북도 고창군 흥덕면 용반리 58,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1150753458,운영중
5044,모닥야영장,경상북도 문경시 문경읍 하초리 산 63-8,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1314855585,운영중
5045,남강사계절 야영장,경상남도 진주시 진성면 온수리 83-2,정보없음,정보없음,정보없음,정보없음,정보없음,45000,58000,68000,81000,2083111918,운영중
5046,글램포레 글램핑 2호점,경기도 포천시 영북면 산정호수로 1008,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,2043981851,운영중
5047,캠프빌리지 345,경기도 포천시 영북면 소회산리 345-1,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1564310809,운영중
5048,노르딕 글램핑,경기도 여주시 흥천면 신근리 869-2,정보없음,정보없음,정보없음,정보없음,정보없음,100000,130000,150000,180000,1528154068,운영중
5049,대운산 하늘숲 야영장,경상남도 울주군 온양읍 운화리 산 155-3,개별,"전기,온수","계곡 물놀이,산책로,강/물놀이","여름물놀이,가을단풍명소,걷기길",불가능,35000,46000,52000,63000,1646857994,운영중
5050,(에드203) 플라네캠핑장,경기도 연천군 전곡읍 양원로268번길 81,개별,"전기,무선인터넷,장작판매,온수,산책로",산책로,걷기길,가능,35000,46000,52000,63000,2008095324,운영중
5051,경포대허브농장,강원도 강릉시 사천면 사천진리 292-2,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,NOT_FOUND,휴업
5052,캠핑킹 관광농원,충청남도 예산군 신암면 조곡리 435 캠핑킹,공동취사장,"온수,트렘폴린,놀이터,마트.편의점",산책로,정보없음,가능(소형견),45000,58000,68000,81000,2042013558,운영중
5053,루트 247,충청남도 연동면 명학리 621-22,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,1055756995,운영중
5054,돌개마실캠핑장,전라북도 부안군 진서면 구룡댐길 65,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,2010630911,운영중
5055,바움글램핑,경상북도 청도군 화양읍 화양남산길 238,정보없음,정보없음,정보없음,정보없음,정보없음,95000,124000,142000,171000,1463150025,운영중
5056,수안보 동그라미 캠핑장,충청북도 충주시 수안보면 미륵송계로 224-29,개별,"전기,무선인터넷,장작판매,온수,마트.편의점","계곡 물놀이,산책로,운동장","일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능(소형견),40000,52000,60000,72000,2071966112,운영중
5057,내리 솔밭 캠핑장,강원도 영월군 김삿갓면 내리계곡로 1006-18,개별,"전기,무선인터넷,장작판매,온수,트렘폴린",계곡 물놀이,여름물놀이,불가능,40000,52000,60000,72000,15538161,운영중
5058,월악산 미시시피 캠핑장,충청북도 제천시 덕산면 월악산로 290,정보없음,정보없음,정보없음,정보없음,정보없음,40000,52000,60000,72000,1024145376,운영중
5059,북한산 진관글램핑장,서울 은평구 북한산로 228-28 (진관동),개별,무선인터넷,정보없음,정보없음,불가능,100000,130000,150000,180000,2023521600,운영중
5060,송추바베큐 셀프바베큐장 흐름채,경기도 양주시 장흥면 가마골로 271,정보없음,정보없음,정보없음,정보없음,정보없음,35000,46000,52000,63000,37402517,운영중
5061,영벽정오토캠핑장,전라남도 화순군 능주면 학포로 2054,개별,"전기,무선인터넷,장작판매,온수,산책로,마트.편의점","산책로,낚시,청소년체험시설,농어촌체험시설,어린이놀이시설","항공레저,낚시,봄꽃여행,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,2081825707,운영중
