번호,야영장명,주소,화로대,부대시설,주변이용가능시설,테마환경,반려동물출입,비수기_평일_가격,비수기_주말_가격,성수기_평일_가격,성수기_주말_가격,naver_id,states
1,데일리랜드 ,강원도 춘천시 동산면 윗성골길 36,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점",정보없음,정보없음,불가능,45000,58000,68000,81000,37830356,운영중
2,주식회사 디노 담양힐링파크 지점,전라남도 담양군 봉산면 탄금길 9-26,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트.편의점","운동장,강/물놀이,농어촌체험시설","낚시,여름물놀이",불가능,50000,65000,75000,90000,37275192,운영중
3,(주)쉐르빌리안티티,강원도 홍천군 서면 밤벌길19번길 111,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점",정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
4,(주)아웃오브파크,강원도 춘천시 남면 가옹개길 52-9,개별,운동시설,수영장,정보없음,불가능,45000,58000,68000,81000,1952578638,운영중
5,(주)양촌여울체험캠프,경상남도 창원시 마산합포구 진전면 의산삼일로 60,개별,"전기,온수,물놀이장,산책로,마트.편의점","산책로,농어촌체험시설",정보없음,가능(소형견),55000,72000,82000,99000,986498469,운영중
6,어반슬로우시티,강원도 춘천시 남면 가옹개길 108,개별,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,36444900,운영중
7,이스케이프 지점 (휴토피아),강원도 홍천군 서면 팔봉산로 976,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점","낚시,강/물놀이",가을단풍명소,불가능,55000,72000,82000,99000,35452170,운영중
8,드림랜드오토캠핑장,경상북도 영천시 고경면 고도길 38,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","산책로,강/물놀이,청소년체험시설","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,45000,58000,68000,81000,21688926,운영중
9,제주 자연인 글램핑,제주도 제주시 아란서길 110-0,정보없음,운동시설,정보없음,정보없음,불가능,95000,124000,142000,171000,1358535566,운영중
10,(주)태평소금 천일염 힐링캠프,전라남도 신안군 증도면 지도증도로 1053-11,개별,"전기,장작판매,온수,물놀이장,놀이터,마트.편의점","산책로,낚시,해수욕,청소년체험시설","일출명소,일몰명소,낚시,걷기길",불가능,55000,72000,82000,99000,1468235770,운영중
11,353캠핑,경기도 포천시 영북면 산정리 353,정보없음,"전기,장작판매,온수,물놀이장,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,1144761042,운영중
12,505펜션&캠핑(오공오),충청남도 공주시 사곡면 호계황골길 43,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,낚시","액티비티,여름물놀이",불가능,50000,65000,75000,90000,35222100,운영중
13,(중복제거) 80 SS 오토캠핑장,경상북도 군위군 부계면 남산리 1138-4번지,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,여름물놀이,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
14,A&J오토캠핑장,강원도 원주시 지정면 안창리 산 56-3,정보없음,전기,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
15,Camp＆Joy,전라남도 신안군 압해읍 압해로 201,정보없음,물놀이장,정보없음,정보없음,가능,45000,58000,68000,81000,NOT_FOUND,휴업
16,Camp 1950,경상북도 김천시 대덕면 남김천대로 160,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,어린이놀이시설",여름물놀이,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
17,CLUB 596,충청남도 태안군 남면 몽산리 596,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로","산책로,수상레저,낚시,해수욕","일몰명소,여름물놀이,걷기길",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
18,DMZ  마루 캠핑,경기도 연천군 중면 군중로 399,정보없음,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,낚시,청소년체험시설",정보없음,불가능,50000,65000,75000,90000,1219620968,운영중
19,DMZ 캠핑장,강원도 철원군 철원읍 독서당길 225-134,개별,"전기,무선인터넷,장작판매",계곡 물놀이,정보없음,불가능,45000,58000,68000,81000,80836776,운영중
20,EBS골드캠핑장 ,경기도 용인시 기흥구 기흥단지로 397 (고매동),개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","산책로,강/물놀이","액티비티,여름물놀이,가을단풍명소",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
21,F1오토캠핑장,전라남도 영암군 삼호읍 삼포리 1894,개별,"온수,운동장",정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
22,JB캠핑하우스,경기도 파주시 적성면 감악산로 1270-74,개별,정보없음,정보없음,정보없음,불가능,40000,52000,60000,72000,1955336884,운영중
23,MG펜션(연천수영장캠핑장),경기도 연천군 신서면 연신로 1622-1,정보없음,"물놀이장,운동시설",정보없음,정보없음,가능,50000,65000,75000,90000,1562710375,운영중
24,Najost Camp,강원도 영월군 김삿갓면 김삿갓로 638,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,"여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
25,THATS CAMPING 횡성자연휴양림야영장,강원도 횡성군 갑천면정포로430번길 113,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트.편의점","산책로,강/물놀이","가을단풍명소,걷기길",불가능,55000,72000,82000,99000,NOT_FOUND,휴업
26,The Star 오토캠핑장,전라남도 여수시 돌산읍 상하동길 268,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","산책로,낚시,해수욕,청소년체험시설","일출명소,일몰명소,낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",가능,45000,58000,68000,81000,1712597954,운영중
27,(중복제거) VIP레저타운,강원도 원주시 지정면 지정로 1393,정보없음,정보없음,정보없음,정보없음,가능,40000,52000,60000,72000,NOT_FOUND,휴업
28,VIP오토캠핑장,경상남도 밀양시 단장면 고례3길 10-11,개별,"전기,트렘폴린","계곡 물놀이,농어촌체험시설","봄꽃여행,여름물놀이,가을단풍명소",불가능,35000,46000,52000,63000,37081206,운영중
29,월명 글램핑,경상남도 산청군 산청읍 웅석봉로285번길 80-20,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점","계곡 물놀이,산책로,운동장,수상레저,낚시,강/물놀이,수영장","수상레저,낚시,액티비티,가을단풍명소",가능(소형견),110000,143000,165000,198000,35644668,운영중
30,YC글램핑,경기도 연천군 미산면 청정로 1049,정보없음,"물놀이장,운동시설",정보없음,정보없음,불가능,110000,143000,165000,198000,NOT_FOUND,휴업
31,옐로우힐,강원도 춘천시 동산면 종자리로 224-24,정보없음,정보없음,정보없음,정보없음,불가능,40000,52000,60000,72000,1864109480,운영중
32,(주)농업법인 한국영농 오토캠핑장,충청북도 청주시 청원구 오창읍 여천리 35-5,개별,"전기,장작판매,온수,물놀이장,산책로",청소년체험시설,걷기길,불가능,55000,72000,82000,99000,1446908862,운영중
33,㈜씨스테이 야영장,경기도 옹진군 영흥면 내리 1212-52,개별,"전기,무선인터넷,온수,물놀이장,운동시설",정보없음,정보없음,불가능,50000,65000,75000,90000,1676873609,운영중
34,(주)제주글램핑,제주도 제주시 구좌읍 덕천리 1288-2,불가,"전기,온수,물놀이장,놀이터,운동시설",정보없음,정보없음,불가능,105000,136000,158000,189000,NOT_FOUND,휴업
35,가람펜션캠핑장,경상남도 합천군 봉산면 인덕로 930,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",수상레저,"수상레저,낚시",불가능,50000,65000,75000,90000,1567446970,운영중
36,가래골농원 캠핑장,경기도 포천시 창수면 포천로2811번길 178,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","산책로,강/물놀이,농어촌체험시설","액티비티,여름물놀이,걷기길",가능,50000,65000,75000,90000,32770040,운영중
37,가루실 캠프,충청남도 예산군 덕산면 가루실길 229-23,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",여름물놀이,가능(소형견),50000,65000,75000,90000,NOT_FOUND,휴업
38,가리산자연휴양림 야영장,강원도 홍천군 두촌면 가리산길 426,개별,"무선인터넷,놀이터,운동시설",정보없음,"액티비티,가을단풍명소",불가능,35000,46000,52000,63000,NOT_FOUND,휴업
39,가마실캠핑장,충청북도 제천시 의병대로61길 50 (자작동),개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설","낚시,가을단풍명소,걷기길",불가능,50000,65000,75000,90000,1120169532,운영중
40,가산글램핑,경상북도 칠곡군 가산면 학하2길 54-55,개별,"전기,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",산책로,정보없음,불가능,110000,143000,165000,198000,35297864,운영중
41,팔공산 국립공원 가산산성 야영장,경상북도 칠곡군 동명면 한티로 1034,개별,정보없음,산책로,"봄꽃여행,가을단풍명소",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
42,가야권역 소리마실 영농조합법인,경상남도 합천군 가야면 가야산로 1267,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,운동시설","계곡 물놀이,청소년체험시설","여름물놀이,가을단풍명소,걷기길",가능(소형견),45000,58000,68000,81000,NOT_FOUND,휴업
43,가야달빛야영장,경상남도 김해시 신어산길 67 (삼방동),정보없음,"전기,장작판매,온수,운동시설",정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
44,가온누리캠핑체험장,경상북도 경주시 안강읍 호국로 2037,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","산책로,낚시,어린이놀이시설","여름물놀이,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,36773703,운영중
45,가우도카라반펜션,전라남도 강진군 대구면 저두바닷길 3,개별,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설","산책로,수상레저,낚시","일출명소,일몰명소,수상레저,낚시",불가능,95000,124000,142000,171000,37463408,운영중
46,가은 해솔 캠핑장,경상북도 문경시 가은읍 원북리 177-6,개별,"전기,장작판매,온수,물놀이장","계곡 물놀이,낚시,어린이놀이시설",여름물놀이,불가능,55000,72000,82000,99000,1425497814,운영중
47,변산오토캠핑장,전라북도 부안군 변산면 변산로 2054,개별,"전기,무선인터넷,장작판매,온수","낚시,해수욕","일몰명소,여름물놀이,걷기길",불가능,40000,52000,60000,72000,1303899894,운영중
48,가족쉼터,경기도 남양주시 수동면 비룡로 1603,개별,"전기,무선인터넷,장작판매,온수,놀이터,마트.편의점","계곡 물놀이,산책로","봄꽃여행,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,1440165394,운영중
49,청계산 골든밸리 가족캠핑장,경기도 성남시 수정구 달래내로221번길 17-5 (금토동),개별,"전기,장작판매,온수",정보없음,정보없음,불가능,35000,46000,52000,63000,1159325521,운영중
50,가지산자연캠핑장,경상남도 울주군 삽재로 279-22 가지산자연,개별,"전기,무선인터넷,장작판매,온수,운동시설",계곡 물놀이,"여름물놀이,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,NOT_FOUND,휴업
51,가창농원 야영장,경상북도 달성군 가창면 가창로10길 56,개별,"전기,무선인터넷,온수,물놀이장,운동장",정보없음,정보없음,불가능,45000,58000,68000,81000,38233789,운영중
52,가평사계절캠핑장,경기도 가평군 가화로 988,개별,"전기,무선인터넷,온수,트렘폴린,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설","일몰명소,낚시,봄꽃여행,여름물놀이,걷기길",불가능,45000,58000,68000,81000,35031886,운영중
53,가평 사과나무 캠핑장,경기도 가평군 상면 항사리 427-6,개별,"전기,장작판매,놀이터",정보없음,"일출명소,봄꽃여행,가을단풍명소",불가능,40000,52000,60000,72000,37182798,운영중
54,가평 운악홀리데이 캠핑장,경기도 가평군 조종면 운악청계로 424,개별,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동장,운동시설",정보없음,정보없음,불가능,40000,52000,60000,72000,2008065425,운영중
55,숨쉬는고래,경기도 가평군 설악면 장수로79번길 63-18,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설,마트.편의점","계곡 물놀이,운동장,강/물놀이,농어촌체험시설","일출명소,일몰명소,봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,50000,65000,75000,90000,1138462228,운영중
56,가포수변오토캠핑장,경상남도 창원시 마산합포구 가포동 186-4,정보없음,"전기,온수,놀이터,산책로,운동시설",정보없음,정보없음,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
57,흑석산 자연휴양림,전라남도 해남군 계곡면 산골길 306,개별,"전기,놀이터",산책로,"봄꽃여행,걷기길",불가능,40000,52000,60000,72000,17087015,운영중
58,각화산캠핑장,경상북도 봉화군 춘양면 석현리 573-2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,산책로","계곡 물놀이,산책로","일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,55000,72000,82000,99000,1232081048,운영중
59,주식회사 클럽 프라비다,경기도 포천시 이동면 도평리 572-3,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,산책로,청소년체험시설","봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",불가능,35000,46000,52000,63000,1463812825,운영중
60,간월도캠핑장,충청남도 서산시 부석면 간월도리 21-20,정보없음,"전기,장작판매,온수,산책로",정보없음,정보없음,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
61,갈기산펜션캠핑장,경기도 양평군 청운면 신론새터길 23,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장","계곡 물놀이,산책로,청소년체험시설",정보없음,불가능,50000,65000,75000,90000,36383764,운영중
62,갈천 오토캠핑장,강원도 양양군 서면 구룡령로 1103-12,정보없음,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",계곡 물놀이,정보없음,불가능,45000,58000,68000,81000,1170574905,운영중
63,감이야기 캠핑장,경상북도 청도군 운문면 신원4길 18,개별,"전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,어린이놀이시설","여름물놀이,걷기길",불가능,55000,72000,82000,99000,NOT_FOUND,휴업
64,감악산캠핑숲,강원도 원주시 신림면 신림황둔로 714,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로","여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,36771741,운영중
65,함안군 강나루오토캠핑장,경상남도 함안군 칠서면 이룡리 998,개별,"전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설,마트.편의점",정보없음,정보없음,불가능,35000,46000,52000,63000,1916867595,운영중
66,강나루 캠핑장,"경상남도 합천군 가회면 둔내리 563-6, 563-7",개별,전기,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
67,강당골캠핑파크,충청남도 아산시 송악면 강당로 187-17,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설","계곡 물놀이,산책로,낚시",여름물놀이,불가능,45000,58000,68000,81000,745264645,운영중
68,강동그린웨이 가족캠핑장,서울 강동구 천호대로206길 87 (둔촌동),불가,"전기,무선인터넷,산책로,운동장,마트.편의점",산책로,"봄꽃여행,가을단풍명소,걷기길",불가능,40000,52000,60000,72000,NOT_FOUND,휴업
69,강릉 노추산 힐링캠프,강원도 강릉시 왕산면 노추산로 1271-6,개별,"전기,장작판매,놀이터,산책로","계곡 물놀이,산책로,낚시","여름물놀이,가을단풍명소",가능,45000,58000,68000,81000,NOT_FOUND,휴업
70,강변사리 캠핑장,전라북도 임실군 덕치면 강동로 865-20,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설","계곡 물놀이,청소년체험시설","봄꽃여행,여름물놀이",불가능,55000,72000,82000,99000,1351347304,운영중
71,강변 야영장,강원도 인제군 북면 만해로 237,개별,"전기,온수",계곡 물놀이,정보없음,불가능,45000,58000,68000,81000,20430907,운영중
72,강변오토캠핑장,충청북도 괴산군 괴산읍 충민로 317,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","계곡 물놀이,산책로,낚시,어린이놀이시설","낚시,여름물놀이,걷기길",가능(소형견),50000,65000,75000,90000,1506651507,운영중
73,강산에 글램핑,경상북도 청도군 운문면 신원리 390-2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설","계곡 물놀이,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,105000,136000,158000,189000,NOT_FOUND,휴업
74,집다리골자연휴양림,강원도 춘천시 사북면 지암리 산5,개별,"물놀이장,놀이터,산책로,운동시설","계곡 물놀이,산책로","여름물놀이,가을단풍명소",불가능,55000,72000,82000,99000,32769818,운영중
75,강원도힐링캠핑장,강원도 원주시 신림면 재사동길 10-38,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",계곡 물놀이,여름물놀이,불가능,55000,72000,82000,99000,32769405,운영중
76,큐브 빌리지 글램핑,전라남도 강진군 대구면 청자로 1339-74,개별,"전기,온수,트렘폴린,물놀이장,놀이터","산책로,수상레저,낚시,수영장,농어촌체험시설","일출명소,일몰명소,낚시,액티비티,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,105000,136000,158000,189000,1838500572,운영중
77,뜨란채,전라북도 순창군 팔덕면 강천로 664-26,불가,"전기,무선인터넷,온수,물놀이장,놀이터",계곡 물놀이,"여름물놀이,가을단풍명소,걷기길",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
78,강촌강변오토캠핑장,강원도 춘천시 남산면 강촌리 534-5,정보없음,"장작판매,온수",정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
79,브루조아,강원도 춘천시 남산면 오양골길 125,개별,"온수,물놀이장,놀이터,운동장","계곡 물놀이,운동장,강/물놀이",가을단풍명소,불가능,50000,65000,75000,90000,NOT_FOUND,휴업
80,강촌달머리캠핑장,강원도 춘천시 서면 율장길 123-39,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,마트.편의점",수상레저,"수상레저,스키,낚시,액티비티",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
81,강촌하늘아래,강원도 춘천시 남산면 풀무골1길 71,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동장,마트.편의점",강/물놀이,"수상레저,스키,액티비티,여름물놀이,가을단풍명소",불가능,45000,58000,68000,81000,35445134,운영중
82,강촌포도펜션오토캠핑장,강원도 춘천시 남산면 백양리 266-2,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,운동시설",계곡 물놀이,"스키,액티비티,여름물놀이",불가능,40000,52000,60000,72000,NOT_FOUND,휴업
83,강화고인돌 캠핑장,경기도 강화군 하점면 장정리 989,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","운동장,낚시,해수욕","낚시,봄꽃여행",불가능,55000,72000,82000,99000,38426093,운영중
84,강화도산들애농원캠핑수영장,경기도 강화군 강화읍 고비고개로 171,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,정보없음,불가능,55000,72000,82000,99000,36310224,운영중
85,강화캠핑파크,경기도 강화군 길상면 신촌로146번길 14-11,개별,"전기,온수,운동시설",정보없음,정보없음,불가능,45000,58000,68000,81000,30824328,운영중
86,개금불 어뮤니티,경상남도 합천군 묘산면 봉곡1길 24-11,개별,"전기,온수,놀이터,마트.편의점",정보없음,"수상레저,항공레저,가을단풍명소",불가능,45000,58000,68000,81000,37812357,운영중
87,개미들솔향기야영장,강원도 정선군 남면 광락로 354,개별,"전기,장작판매,온수",정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
88,개암벌 용소 관광농원 캠핑장,강원도 홍천군 두촌면 군유동길 361-26,개별,"전기,장작판매,온수,놀이터,운동시설",계곡 물놀이,"여름물놀이,가을단풍명소",가능(소형견),45000,58000,68000,81000,35103332,운영중
89,개울가캠핑,경상북도 청도군 운문면 신원리 110,정보없음,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,NOT_FOUND,휴업
90,거북바위 야영장,경기도 양평군 서종면 서후리 234-1 번지,정보없음,"전기,장작판매,온수,운동시설",계곡 물놀이,정보없음,불가능,45000,58000,68000,81000,1235948238,운영중
91,거제글램퍼스,경상남도 거제시 일운면 망치4길 38,개별,"전기,온수,놀이터,산책로","산책로,수상레저,낚시","일출명소,일몰명소,낚시,액티비티,여름물놀이,걷기길",불가능,40000,52000,60000,72000,46017707,운영중
92,거제자연휴양림,경상남도 거제시 동부면 거제중앙로 325,정보없음,"온수,놀이터,운동시설",정보없음,정보없음,불가능,45000,58000,68000,81000,32769365,운영중
93,거창A글램핑,경상남도 거창군 마리면 세동길 7,개별,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",정보없음,정보없음,불가능,115000,150000,172000,207000,32739393,운영중
94,경일농원,경상북도 울릉군 울릉읍 사동리 122-3,정보없음,정보없음,정보없음,정보없음,가능,40000,52000,60000,72000,NOT_FOUND,휴업
95,경주 힐링캠프,경상북도 경주시 산내면 감산리 1456번지,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","계곡 물놀이,산책로,수상레저,낚시,해수욕,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,55000,72000,82000,99000,1202160093,운영중
96,경주글램존,경상북도 경주시 안강읍 강교리 877-1,개별,"전기,온수,물놀이장,운동시설","계곡 물놀이,산책로,낚시,어린이놀이시설",여름물놀이,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
97,별자리 캠핑랜드,경상북도 경주시 반구대로 3501-34 (배동),개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,마트.편의점,덤프스테이션","산책로,수상레저,낚시,강/물놀이,어린이놀이시설","일몰명소,봄꽃여행,여름물놀이,가을단풍명소,걷기길",가능,45000,58000,68000,81000,37994636,운영중
98,경주인동야영장,경상북도 경주시 강동면 인동리 425-4,정보없음,정보없음,정보없음,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
99,경주초우오토캠핑장,경상북도 경주시 동방동 산업로 3549-30,개별,"전기,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","산책로,수상레저","수상레저,봄꽃여행,가을단풍명소,걷기길",불가능,55000,72000,82000,99000,NOT_FOUND,휴업
100,강화카라반캠핑장,경기도 강화군 길상면 초지리 1320-1,개별,"전기,무선인터넷,온수,산책로",낚시,"일몰명소,낚시,걷기길",불가능,90000,117000,135000,162000,1278927850,운영중
101,경호강 캠핑장,경상남도 산청군 단성면 방목리 627,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","산책로,강/물놀이,농어촌체험시설,어린이놀이시설","봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,21905038,운영중
102,계곡과소나무 캠핑장,경기도 포천시 일동면 무리울길 299,개별,"전기,장작판매,온수,놀이터,산책로,운동장,운동시설",계곡 물놀이,"봄꽃여행,여름물놀이,가을단풍명소",불가능,40000,52000,60000,72000,1389104557,운영중
103,계곡캠핑펜션,전라남도 구례군 간전면 금산리 63-5 63-5,정보없음,정보없음,정보없음,정보없음,불가능,35000,46000,52000,63000,37993733,운영중
104,계룡산글램핑 동월숲,충청남도 공주시 반포면 계룡대로 1352,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로","계곡 물놀이,산책로,강/물놀이,수영장,어린이놀이시설","일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",가능,110000,143000,165000,198000,1067866324,운영중
105,계룡산글램핑 파크오브드림,충청남도 공주시 반포면 동학사1로 46,정보없음,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설","계곡 물놀이,산책로",여름물놀이,불가능,110000,143000,165000,198000,338042803,운영중
106,계룡산동학사자동차야영장,충청남도 공주시 반포면 동학사2로 115-16,개별,"전기,무선인터넷",산책로,가을단풍명소,불가능,35000,46000,52000,63000,17704555,운영중
107,계림정야영장,경상남도 산청군 삼장면 친환경로 967,개별,"전기,장작판매,온수,놀이터,운동시설","계곡 물놀이,산책로","낚시,여름물놀이,걷기길",불가능,45000,58000,68000,81000,1387065214,운영중
108,계명산 나무숲길 캠핑장,충청북도 충주시 용탄동 410,정보없음,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",정보없음,정보없음,불가능,55000,72000,82000,99000,NOT_FOUND,휴업
109,계명산자연휴양림 야영장,경상북도 안동시 길안면 고란길 207-99,불가,"물놀이장,놀이터",산책로,"여름물놀이,가을단풍명소,걷기길",불가능,50000,65000,75000,90000,NOT_FOUND,휴업
110,계방산 오토캠핑장,강원도 평창군 용평면 이승복생가길 160,개별,"전기,장작판매,온수",계곡 물놀이,가을단풍명소,가능,45000,58000,68000,81000,13418193,운영중
111,고길동 캠핑장,강원도 홍천군 북방면 북방리 946,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설",계곡 물놀이,여름물놀이,불가능,45000,58000,68000,81000,32708333,운영중
112,고대산캠핑리조트,경기도 연천군 신서면 대광리 130-3,개별,"전기,온수,놀이터,운동장,운동시설","계곡 물놀이,운동장,강/물놀이",정보없음,불가능,35000,46000,52000,63000,1973642117,운영중
113,고라데이마을,강원도 횡성군 청일면 봉명로 375-1,개별,"전기,무선인터넷,온수,산책로",계곡 물놀이,"여름물놀이,가을단풍명소",불가능,35000,46000,52000,63000,NOT_FOUND,휴업
114,고래숲관광농원,경기도 안산시 단원구 장불길 14 (대부남동),정보없음,정보없음,정보없음,정보없음,불가능,40000,52000,60000,72000,NOT_FOUND,휴업
115,고산 무궁화 오토캠핑장,전라북도 완주군 고산면 고산휴양림로 89,개별,"전기,온수,놀이터,운동장",수영장,정보없음,불가능,45000,58000,68000,81000,NOT_FOUND,휴업
116,남산공원 오토캠핑장,경상남도 고성군 고성읍 공룡로 3165,개별,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",산책로,"액티비티,봄꽃여행,여름물놀이,가을단풍명소,걷기길",불가능,45000,58000,68000,81000,1739771362,운영중
117,상족암오토캠핑장,경상남도 고성군 하이면 덕명5길 53-7,개별,"온수,놀이터,운동시설",정보없음,정보없음,불가능,40000,52000,60000,72000,1868118010,운영중
118,주식회사 웰니스,경상남도 고성군 삼산면 두포5길 193,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점","산책로,낚시","일출명소,일몰명소,낚시,여름물놀이",불가능,55000,72000,82000,99000,1915774286,운영중
119,고성잔디캠핑장,경상남도 고성군 하일면 용태리 479,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","계곡 물놀이,산책로,운동장,낚시,강/물놀이,농어촌체험시설","일출명소,낚시,걷기길",불가능,45000,58000,68000,81000,1175772209,운영중
